Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
310094,B008EM51FA,A1O8MKYAW4Y6DQ,Ebone,1,1,2,1341705600,Weak!,"I was drinking another brand of tea which is not sold in any of the stores where I live or on Amazon. I decided to give this brand a try after reading all of the positive reviews.<br /><br />I am very disappointed in this purchase. The tea tastes like sugar water. The ginger flavor is not strong at all. Even the crystals are lighter in comparison to the other product that I was drinking. Luckily, this product was very reasonably priced so I won't feel too bad about tossing the remaining bags if I can't find someone to give them to.<br /><br />I can't fault the seller here. The product was reasonably priced and arrived on time. I would purchase another item from them, but not this one.<br /><br />Just my two cents."
79770,B001IZM92S,A2QG0KKKVFD2AB,"Susan ""Author & Invisible Illness Advocate""",2,2,4,1289001600,I can't describe how much I love these apple chips!,"I don't eat flour or sugar products so my choices are quite limited. Plus, I have many chemical sensitivities. I use an ounce of these chips with frozen fruit I whip into a smoothie-like substance and it's pure nirvana!<br /><br />I know people have complained about a musty smell or flavor. Well, maybe it's because I don't eat much processed food, but these chips are so sweet and fulfilling for a snack-type food and I would definitely have noticed such a smell.<br /><br />The only reason I gave it four instead of five stars is because I do think I have a slight reaction to them (eczema that worsens if I use them too many days in a row).<br /><br />But getting the bulk price has saved me a fortune. They are close to $4 for an ounce in Publix or Whole Foods."
165944,B0009F3SA0,A2NJQC4F30GQ86,I. S. Banks,0,0,5,1333497600,I never believed an herbal tea would put me to sleep...,"...until now! Yogi tea has made a believer out of me! I'm now going to order about 5 different types and try them out, including Passion Perfect Energy, Get Regular, and Stomach Ease."
88636,B000PMJLJO,A2LNSJZCD110HX,THATGUY,0,0,4,1285372800,Best When Direct,"Much happier with this product when purchased through Amazon. Meat appears older, less fresh when bought in the store."
215458,B0014X5O1C,AWIF8AR75LL9L,"Colorgirl ""Spreading color around my world""",2,2,5,1208908800,IZZE made a hit with my entire family with this flavor!,"We have been drinking various forms of flavored carbonated natural drinks for many years. From Knudsens to After the Fall, to Flavored Vitamin Waters without the carbonation, my family has tried all kinds of different flavors and types of carbonated and non-carbonated drinks with no refined sugars added.<br /><br />IZZE Sparkling Clemintine Juice is made of 70% fruit juice with added vitamins such as B6, Beta Carotene, Niacinimide, and vitamin C.  I am not sure what the *natural flavors* added are, as this is often a hiding place for ingredients with some companies that do not want you to know little things they sneak in.<br /><br />Flavorwise, IZZE Sparkling Clemintine Juice is very good.  It is made from concentrate so there is not the fresh flavor that you would get from fresh juice, but I find that this juice only has a tiny bit of bitter edge to it- nothing like most orange flavored juice beverages we have had.<br /><br />What impresses us about this is that it is not overly syrupy like some juices are.  It takes very light, yet filling.<br /><br />Another feature of this drink is that the bubbles are not heavy and the carbonation is not overly strong.  Sometimes drinks have so much carbonation in them that they are annoying.  This one has light to medium carbonation in it.<br /><br />One additional thing I like about this is that the cans are relatively small (8.4oz/248ml).  I have never liked the huge can sizes because I feel that you should only drink small amounts of cooked juice products at a time anyway.<br /><br />There are 24 in the case, which is a good number.  We drank this warm without ice, but chilled it is also delicious.  It tends to go down a bit easier when it is chilled.<br /><br />With ice, it is an even lighter drink and bit more refreshing as the ice dilutes it leaving just a hint of orange flavor.<br /><br />All in all, IZZE Sparkling Clemintine Juice is a hit in our house.  Great flavor, just enough in a can for a snack, and all without added refined sugars or caffeine! My daughter keeps saying- ""Mom, I just LOVE this stuff."""
165899,B0009F3SA0,A2FEC016SACDJ9,"M. Lynch ""nerdgirl""",8,8,4,1236988800,Knocked me out,"I picked up Yogi Bedtime Tea because a) I'm a tea lover and b) I was searching for teas that might make me sleepy. So far, Yogi's Bedtime is the only one that does the job. One mug makes me pretty drowsy and ready to go to sleep. Two mugs make me very loopy and three mugs just put me under. I sleep through the night and wake up feeling slightly groggy; however, the feeling passes quickly and I'm ready to start my morning. If you're having a hard time getting to sleep, or if you know you need to sleep but just aren't ready to settle down yet, this can help.<br /><br />I notice the information for this tea advises you to drink it during the day to calm and relax yourself. I can't imagine doing that. I would pass right out. (Definitely don't drink this before driving anywhere!)<br /><br />The tea is sweetened with Stevia which does leave a taste in the back of your mouth. It is not altogether unpleasant but might irritate some.<br /><br />Also, as another reviewer mentioned, some of the ingredients in this tea can interact with certain medications such as hormonal birth control, so be advised and ask your doctor first."
128181,B00014IVPQ,A23W7PMMD2THRH,Truth teller,3,3,5,1281052800,The best to seal that moisture in your hair!,Everytime I would  moisturize my hair it would be dry less then a hour because  I have really dry hair.  I  search for a sealer to put on my hair to trap the moisture in my hair.I bought this item because of the other reviews and I love it! I can tell the diffrence my hair is not dry after moisturizing my hair when I seal with this. I seen how this worked to seal my moisture in my hair so I decided to use this as a deep conditioner! OMG I will never use anything ealse for a deep conditioner this made my hair so soft moisturized ect.... I dont use this on my face because I have a skin care regimen that I like already but this product is great for your hair.
215446,B0014X5O1C,A3E0CV9614GQJV,"Doc Dave ""world music fan""",3,3,4,1213747200,pop and tart,"In the crowded field of orange soda pop beverages, a relatively new product needs a niche to succeed.  Izze's schtick is 70% fruit juice, no sugar added.<br /><br />In this formulation ""Sparkling Clementine"" is actually a blend of grape, apple, lemon and orange juice concentrates.  I was disappointed to find that it didn't seem to contain clementine or even mandarin orange.<br /><br />The can is very attractively slender shaped and looks good enough to serve to guests out of the can.<br /><br />The taste is tart and fizzy along the lines of european citrus drinks (think Orangina), but with a slightly sweeter finish.  It does grow on you.<br /><br />All in all, a recommendable product, but somebody should probably get some clementine juice in there, or change the name.<br /><br />Disclosure: This review was written for the Amazon Vine Volunteer Review Program.  The product was provided for the purposes of the review."
268365,B0040K41MY,AR1T36GLLAFFX,Scott FS,0,0,5,1339200000,Very good cereal.  I'm eating it as I type this review,"This is a very tasty cereal.  I'm not familiar with Nature's Path cereals, but this is hitting a lot of high marks for me; there is, for example, cane sugar instead of the less desirable high fructose corn syrup.<br /><br />It also has the bonus of not getting too soggy too fast.  I've had the cereal sitting in lactose-free milk for about 10 minutes, and there is (surprisingly) some crunch left in the cereal.  Although I'm not going to run the test too much longer; the cereal is disappearing faster than the crunch disappears.<br /><br />Altogether, a winner!  It's very, very good and it is something I definitely would get again.  I assume because of the careful attention to details on the ingredients, it's going to be in the natural foods department in the supermarket.  I'm going to look for it again.  It's that good and good for you.<br /><br />Solid recommendation for the Nature's Path Crunchy Vanilla Sunrise.  BTW, I threw in a handful of blueberries.  That made it even healthier."
165589,B001QE7J2G,AWLA2SJ05MISS,melissa adams,3,3,5,1296604800,Excellent dog food,"I found this dog food after doing research to help my dogs allergies (2 goldens).<br /><br />My dog had terrible allergies,  she has been on Canidae all life stages for about 5 weeks now.<br /><br />No more itching, scratching, ear infections and vomiting. Their fur is silky & they are so happy & healthy.<br /><br />Use the food cost calculator. your dog eats less of this than many of the garbage filled brands. They also offer coupons on their web site. It really isn't that expensive.<br /><br />If you have cats we have switched ours to the felidae and can also highly recommend it."
540226,B0006SDRRE,A3MY8UWQNRDOZT,"Carole ""Carole""",0,0,4,1305072000,Delicious tea,"This is an amazingly rich, sweet and smooth cup of tea.  I absolutely love it and had to purchase a special little tea pot just for this tea, that is how special the tea is.  The ingredients listed are not detailed, that is one thing I would like to change because it lists natural and artificial flavors and I would like to know what those artificial ingredients are. I am very cautious about artificial products and this has diminished my crazy desire to drink is all the time but a good cup of tea is a good cup of tea and this Market Spice tea is a good cup of tea.  Yum, yum yum, Enjoy!"
540267,B0006SDRRE,A2JYBGRC38CUXU,R. Sullivan,0,0,5,1167091200,You won't be disapointed!,"This is by far the best tea you will ever find if you like a bold, in your face, but not overwhelming taste of cinnamon & oranges instead of just flavored water like other teas.<br /><br />You must be very careful handling the tea bags from the essential oils they use.  I love to smell tea so I placed the tea bag to my nose and took a whiff, then cried for the next 30 minutes as my nose was on fire!!  No amount of water or soap could remove the burning from the oils that were displaced on my nose.  Also don't directly touch it or reach into the bag with acrylic nails.  I ruined a fresh french manicure and learned the hard way - the essential oils leave a green film on your nails that takes days to wear off.<br /><br />Other than that, just try it once and you will be hooked like all the others!  My boss introduced this to me after she came back with it from a trip to Seatle.  I've been ordering it ever since along with all my other co-workers who became a addicted.  It will brighten any day!!!!!!"
501062,B000YVGMZW,A1XTUYMAQ1K1P1,"Mario ""mariomicheli73""",18,21,1,1295395200,"*NOT* made in Italy any more, but in THAILAND (UNFORTUNATELY you CAN taste the difference)","I bought this product three times. The first two times I got the ""made in Italy"" version, and it was among the best canned tuna I had ever had (truly Italian standards - I'm from there and I know what I'm talking about). The last batch I got was the ""made in Thailand"" version (even though at the time the Amazon description still said ""made in Italy"") and it was just above mediocre. Pretty tasteless actually, and NOTHING compared to the Italian version. Same price though, which made me feel I had just been ripped off (and scammed, since the Amazon description had not been changed by then). NO MORE!"
79833,B001IZM92S,A2AQOSE6HOQMD7,Anne S. Harris,0,0,1,1305504000,Dried apples hard and tasteless,"I had been buying dried apples at Trader Joe, and saw that the ones from Amazon cost less, so I signed up for a series of three shipments. I was terribly disappointed with the quality when the first batch arrived. I could eat the TJ apples out of hand, but these were far too hard and dry to be edible without cooking I canceled my next two shipments, and Amazon gave me a refund."
310076,B008EM51FA,A16IMRPEALMMJD,Mathgod,5,5,5,1323820800,Best Cure for an Upset Tummy!,"I discovered this product years ago at a local asian market.  This is a miracle cure for an upset stomach, car sickness, seasickness, etc...My husband uses it when his IBS acts up.  When I go on a cruise, I bring one dose a day and I do not need to get the behind the ear tabs that I had used before.<br /><br />Before I found this, I would have to go get the ginger root, peel, slice, and steep to get a good tea for my stomachache, but this is tons more convenient.  Besides, who wants to do all that work when you are sick.<br /><br />The flavor is very strong so I found that I like it a little more watered down than it recommends but 1 or 2 ""doses"" when I am feeling queasy and it is gone."
88649,B000PMJLJO,A2R9ZTZ3HUY4C3,A. Ketchem,0,0,3,1247184000,Salty,"My husband loves beef jerkey, and he will not eat these.  They are way too salty.  Maybe some people won't mind the salt, but for us, it was too much."
215510,B0014X5O1C,A1QVFHPY8418HC,monkuboy,0,0,5,1210636800,Very refreshing sparklers,"The Clementine (orange) flavor of Izze is my favorite among the three I have tried, the other two being apple and grapefruit. This is a very crisp, refreshing beverage that has just the right balance of fruit to carbonation, and a slight tartness that keeps it from being cloying or flabby. Some reviewers have commented and even complained about this sparkling juice having only the barest amount of carbonation.  Not so with the ones I have tried, so perhaps these other reviewers left the top open and allowed it to go flat or something. Believe me, this had lively carbonation, and a good, natural tasting tart orange flavor.  The size of the can is convenient, too - takes up hardly any space in the fridge or in the lunch sack.<br /><br />As part of the ""Vine"" program, I received and tasted three different flavors but Amazon will not allow me to publish a separate review of each flavor.  So I am combining them all into one.<br /><br />Apple flavor: like biting into a crisp, green apple and savoring the peel and the fruit/meat at the same time. It has nice, clean and refreshing flavors with an excellent balance of carbonation. Normally I am not a fan of apple juice or sparkling cider but this one I liked.  It is not cloying or flabby-tasting as I find most apple beverages to be, probably because this is green and not red apple-flavored.<br /><br />Grapefruit flavor: this was my least favorite of the bunch, but if you prefer a very tart flavor, this fits the bill nicely. Again, a good balance of carbonation, crisp, and refreshing, this had good pink grapefruit taste but I also detected a plastic-tasting element.  The aftertaste was pure grapefruit so I don't know where that plastic came from or where it went, but it did mar an otherwise nice drinking experience.<br /><br />Overall I rate these Izze beverages very high.  They taste good, they are refreshing, and come in convenient-sized cans that easily fit in the fridge or a lunch sack or back pack. Good products!"
79791,B001IZM92S,A3B3HNIC9YPQS7,Stephen T. Snyder,0,0,5,1346457600,Apple Chips,"Bare Fruit apple chips (Fuji apple) are delicious with explosive flavor. The shipping was quick and the chips were intact, without breaking and crumbling. Superior product with dozens of recipe uses. Worth every penny."
215439,B0014X5O1C,A26WD6B5DHAPMU,mook,0,5,1,1285977600,Tastes like Colonoscopy Prep Go-Lightly,Can't get the bad taste out of my mouth!!  I think I'm going to vomit like I did when drinking Go-Lightly for a colonoscopy!  YUK!
215527,B0014X5O1C,ARTST8JB04TBC,Michael Kear,0,0,4,1208995200,Half-Pint Thirst Quencher,"Izze's Clementine sparkling juice beverage is just right! It's the right size at 8.4 ounces. It's the right sweetness - a nice tart drink that doesn't make you feel like you've just drank a can of syrup on a hot summer day. The carbonation is just right, not too much. Above all, it's a great thirst quencher! You might think that a half-pint wouldn't be enough to satisfy your thirst, but it does - and without filling you up like soda pop can do. The only reason I didn't give this drink 5 stars is because it does have a lot of sugar in it. This helps boost your energy, but it isn't good for those watching their weight. A ""diet"" version would easily garner the full five stars."
268251,B0040K41MY,A3EP6YVAYS9YM3,Book Worm,1,2,4,1339372800,Good Option For Gluten Free Cereal,"I really enjoy this cereal.  There are a variety of grains in it, like quinoa, buckwheat and amaranth.  The texture of the cereal is also varied, there are puffs and flakes.  I think it is the amaranth that gives this cereal a nutty taste.  It's not overly sweetened and has just a hint of vanilla, which I like.  I'd recommend this to anyone who is looking for a gluten free cereal."
540254,B0006SDRRE,A3G8VP5YZ4NNX8,S. wood,0,0,5,1200614400,good tea,"this tea is the best tea i have ever tasted. as a rule,iam a coffee drinker, how ever, now every evening when i get home from work, the first thing i do is put on the water to heat, take off my shoes and sit down with a cup of this tea. i would recommend trying this tea to everyone,"
540259,B0006SDRRE,A2Y06A4K79KIO2,Young Joo,0,0,5,1175817600,MarketSpice Teabags - too good to pass,best tea i've ever had...took close to 2 weeks to get shipped but definitely worth the wait!
79773,B001IZM92S,AC3SAQI3GV44F,Gary Greek,4,5,1,1326931200,Apples tear though packaging,"The apple chips are sent in a silver package, not clear.  The flavor was okay but was afraid they were contaminated.  We received the bags with at least 4 different 1/4"" size tears in them.  It had small pokes all over the bags from the apple corners poking through.  If the package is open at all there is a chance of getting stale and contaminated.  I like the bag that the apple chips come in ""Bare Fruit Cinnamon Apple Chips"", the apple chips do not poke through packaging.  I stopped my monthly order of the Bare Fruit 100% Organic Bake-Dried Apples, Fuji, 1 Pound Bags (Pack of 2) due to the packaging. Who wants to eat anything torn open..."
268279,B0040K41MY,ALBW2ZBS6Z2AY,ireadabookaday,0,3,5,1337817600,TASTES GREAT WITH ALMOND MILK,"I have no problems with gluten or lactose,  this combo just tastes great.<br />This cereal is healthy,  with great taste and texture. What more could you ask of a cereal?<br />You want organic? It's that too!"
310129,B008EM51FA,A2R3KK6HHWBR5U,Katrina,0,0,4,1294704000,Refreshing Drink,"My husband absolutely loves these and I was thrilled to find them on Amazon for such a great price. However, the product pictured is a bag, but mine arrived in 3 boxes of 10 packets each.  Not a bad thing, just different from what is pictured/described. I deducted one star though, because I'd prefer if one packet made more."
215445,B0014X5O1C,A2RN2AO4BE6F4K,"Scott Bright ""scottypotty""",4,4,5,1210550400,The Entire Family Loves Izze,"My daughter gets Izze when we stop at Starbucks but I never tried one myself. Izze is an all natural soda. I tried it and was surprised how much I liked it. It's not as sweet as diet soda and I like that. Based on the ingredients I don't feel bad letting the kids have it now and then. I'll also be getting them again myself. The size of the can makes them very nice for packing in lunches and in coolers.<br /><br />We got a case of Clementine Izze and the family helped me drink them. They wanted to help with the review as well.<br /><br />Mom: As good as Izze tastes, what I like even more is the ingredient list. I've stopped drinking diet soda because I won't drink aspartame, and sucralose (Splenda) makes me ill. Izze is sweetened by natural fruit juices (70%) and not refined sugar, corn syrup, etc. The rest of the ingredients are sparkling water and vitamins. I feel good giving this drink to my 11-year-old daughter for a treat, and she loves it. We've tried all the flavors and like each one, but Clementine is the family favorite.<br /><br />Daughter: Izzie is a great thirst quencher. And not only that, but it's healthy, too! I love anything fruity of fizzy and Izzie was the perfect fit."
501120,B000YVGMZW,A1B0V02KIOS8CE,"Roger S ""SRT10""",2,8,2,1264982400,Good but....,We have ordered this product three times before anf it was top notch.  This order is 10 times too salty and I can't eat it.
310117,B008EM51FA,A2TP4RZ4HQELHK,sgme,0,0,5,1328572800,Perfect for when you have the flu,I love this spicy ginger drink & find it incredibly soothing when I'm sick so I keep it on hand for just such an occasion (and push it at others when they're not feeling well either!) I like to add a little lemon and honey. The ginger instantly numbs a painful throat and soothes the whole system giving you an immediate feeling a wellness. Love this stuff.
501099,B000YVGMZW,A35ZH7W1W2FWNZ,"J. Gates ""Jackson""",1,1,5,1277856000,Genova Tonno is a good Buy,"There was actually more usable chunk tuna in one 3 oz. Tin of Genova than a 6oz Tin of Star Kist tuna, which was shredded and shrank down to about 1/3rd weight after draining the water. With the 6oz. can of ""XXX"" I only had enough to make ½ sandwich but the mayo and onions tasted good.<br />I made a tuna salad sandwich with Genova, green onions and celery with mayo on an onion bun. You will not need to add salt. I just drained the oil from the can and mixed it with the ingredients.<br />I intend to use this with a green salad mix or even pasta.<br /><br />Although I do like salt, next time I may try rinsing the tuna in a colander but not pressing it. With some of the shredded stuff you may just end up with a spoon-full.<br />For quick meals, I used to like Hot-Dogs but not any more. The taste of this yellow-fin tuna is quite good, actually much better than I had expected. Some of the tuna you get from the local grocery store may look like cat food when you open it up. This definitely does not.<br />I will buy it again because you can't beat the Amazon price with Free Shipping."
310131,B008EM51FA,A14OOQFU9BS924,GHC Lover,0,0,5,1293408000,GHC Lover,I continue 2 purchase the Ginger honey crystal tea. It's the best!!!! I luv it hot or cold.<br />It's very soothing and the price is EXCELLENT!
233398,B007TJGZ4A,ASPE385LW3WQB,"Barbara Werblin ""babsww523""",0,0,5,1340409600,yum,I enjoy drinking my hazelnut coffee every morning; it wakes me up and tastes delicious. How can you beat that for a way to start the day?
128178,B00014IVPQ,A1AY8BZB1ADAYZ,DJ,3,3,5,1298851200,Speechless,"This stuff is wonderful to help treat ezcema. Both my sons (6 and 7) have the condition and we have been using steroid cream for several months. Based on all the reviews, thank you past reviewers, I found something that works. I use oil on them as needed and in the words of my children ""We're not itchy anymore!"""
549901,B004779XNW,A1YBN8NAJMU2DD,sherri,0,0,5,1347494400,such good coffee - we're spoiled!,Green Mountain Dark Magic K-cups have spoiled us for ANY drip or french press out there! Even using my own ground coffee in the filters I bought don't come up to Dark Magic! Just wish I had ordered a larger supply!! Automatic delivery is great also - less expensive and right on time.
233231,B007TJGZ4A,A3HKA1N18OH53J,"Don, Richmond, KY",0,0,5,1291680000,"Smooth, Rich, non-acidy flavor","I love hazlenut coffee.  I have tried several brand of Kcups over the first year of having a Keurig.  Gloria Jean's Hazelnut is rich in flavor without the acidy after taste of many others that often upsets your stomach if you enjoy coffee often.  I start out the day with no less than 4 cups and I never get tired of Gloria Jean's.  You simply ""must"" use the ""frustration free"" packaging, thank's Amazon!"
442309,B0030HSFW0,AK9XT2FNUNM8G,breznick70,1,1,4,1330041600,Great Product!,First time making sausages and this works great!  They were super durable and tasted good.  I just wish there were directions on how to use them for first time users because I messed up my first strip of casings.
442282,B0030HSFW0,A3CIS6JRAISYF9,"Peter G. Buckley ""petermenlo""",4,4,4,1310688000,Good quAlity,"For those of us who don't have a butcher's shop to sell us casings just round the corner we have to buy them on-line.  These have proven very reliable, high quality natural casings.  They are not tough and become workable quickly"
540235,B0006SDRRE,A2Y5QSBL4QG6MW,L. Lawton,0,0,5,1258588800,delicious,Great taste. This tea is sweet but there is no real or artificial sugar in it. Tastes good as ice tea too
268341,B0040K41MY,A28S3F43F76HSH,"D. Sorel ""book lovah""",0,0,4,1340150400,Healthy and Yummy!,"I enjoy eating healthy but I am by no means a ""health-nut"". Recently, I had a friend visit who is glueten free and I tried very hard to find a cereal that we could both eat as I find it wasteful to buy two completely different cereals. I found this one and thought I would give it a shot because it has a lot of the ingredients that I love. It was great! The taste was sweet with a hint of vanilla without being too powerful. I loved the crunch and it kept me full for awhile. I had my friend try it when she came to visit and she loved it! She even said that she wants to get some for herself when she gets home.<br /><br />As you might have noticed, I have rated the cereal with four stars. While everything I have stated is true, I really like it, there is a bit of an after-taste that isn't exactly enjoyable. Of course, I can get past this and my friend did as well. Still, for the amount that they are charging, I expected it to be flawless."
501117,B000YVGMZW,A28HWQUZIHG50R,amazon_converted,0,0,5,1281571200,My work lunch,"Love this stuff. Add some cannelli beans, lemon juice, salt and better. Put over salad or on bread. Very healthy quick meal."
128166,B00014IVPQ,ACFTSLM65892C,sherry bomb,6,15,3,1301097600,"LOVE THE COCONUT OIL, HATE THE GLASS CONTAINER!","When it arrived, the glass container was broken. I had to get the coconut oil in another container. So some of the coconut oil were wasted since I didn't want to risk my luck getting hurt with glass in some coconut oil. I love the oil though. It smelled great! It penetrated in my hair well & it made it softer. I have natural 4a hair."
